,left_id,right_id,score
0,46770,80468,1.0
1,76725,37627,1.0
2,43026,71911,1.0
3,76725,38413,1.0
4,42995,3488,1.0
5,42986,14551,1.0
6,42976,81485,1.0
7,76726,24045,1.0
8,42904,82908,1.0
9,42904,81519,1.0
10,42902,70419,1.0
11,76726,24046,1.0
12,76760,43657,1.0
13,76760,43658,1.0
14,76767,90295,1.0
15,76814,9757,1.0
16,42659,77163,1.0
17,42636,4331,1.0
18,42588,67574,1.0
19,43026,71912,1.0
20,43080,38685,1.0
21,43401,13747,1.0
22,43080,38688,1.0
23,43392,85087,1.0
24,43387,2096,1.0
25,43375,79902,1.0
26,43361,81666,1.0
27,43361,81059,1.0
28,76656,19224,1.0
29,76659,26676,1.0
30,43324,72818,1.0
31,43259,80184,1.0
32,43232,80669,1.0
33,43217,68373,1.0
34,43217,68372,1.0
35,43188,81568,1.0
36,43178,14514,1.0
37,76713,78453,1.0
38,43112,41346,1.0
39,43103,17823,1.0
40,42556,83308,1.0
41,42553,89184,1.0
42,42553,89183,1.0
43,42528,45311,1.0
44,42342,83405,1.0
45,42342,82085,1.0
46,42341,60261,1.0
47,76913,41812,1.0
48,76987,53832,1.0
49,77005,77970,1.0
50,42313,20194,1.0
51,42313,20193,1.0
52,42309,38846,1.0
53,42304,23431,1.0
54,42296,23810,1.0
55,77005,77983,1.0
56,42262,64945,1.0
57,42217,80795,1.0
58,77021,83073,1.0
59,42178,23408,1.0
60,42178,21557,1.0
61,76877,2585,1.0
62,42364,28619,1.0
63,42364,28620,1.0
64,42425,73143,1.0
65,42498,16825,1.0
66,76825,159,1.0
67,76837,71284,1.0
68,42460,19975,1.0
69,76838,27215,1.0
70,42444,69065,1.0
71,42426,51845,1.0
72,42425,73142,1.0
73,76871,70732,1.0
74,42414,10613,1.0
75,42414,7405,1.0
76,76838,27218,1.0
77,76855,52210,1.0
78,42388,85100,1.0
79,42387,14187,1.0
80,76871,70722,1.0
81,76631,80388,1.0
82,76619,52524,1.0
83,30839,71703,1.0
84,76204,85909,1.0
85,45343,363,1.0
86,44139,7962,1.0
87,44139,363,1.0
88,44122,83655,1.0
89,44122,83632,1.0
90,76210,62743,1.0
91,76223,13226,1.0
92,76223,16424,1.0
93,44070,66623,1.0
94,44059,14412,1.0
95,76250,87334,1.0
96,44050,88088,1.0
97,76250,87352,1.0
98,44027,79293,1.0
99,44024,49735,1.0
100,43999,38360,1.0
101,76276,85635,1.0
102,45343,7962,1.0
103,44149,5737,1.0
104,43429,38525,1.0
105,44149,5738,1.0
106,44436,2927,1.0
107,44431,72921,1.0
108,44426,31255,1.0
109,76064,77072,1.0
110,44331,4905,1.0
111,44315,31835,1.0
112,44300,37805,1.0
113,44281,80104,1.0
114,44281,79929,1.0
115,76081,82871,1.0
116,44263,48640,1.0
117,44232,11741,1.0
118,76103,72350,1.0
119,44202,36477,1.0
120,44196,13534,1.0
121,76141,89757,1.0
122,76204,83998,1.0
123,76377,75744,1.0
124,43956,74264,1.0
125,43871,79233,1.0
126,43871,77905,1.0
127,43584,69574,1.0
128,43578,7930,1.0
129,43568,21579,1.0
130,76536,1398,1.0
131,76536,2309,1.0
132,43525,63801,1.0
133,76536,5996,1.0
134,76538,24077,1.0
135,43517,83531,1.0
136,43501,27257,1.0
137,43480,53807,1.0
138,43480,53801,1.0
139,76556,747,1.0
140,43456,21959,1.0
141,76575,58736,1.0
142,43440,6639,1.0
143,43432,42752,1.0
144,43585,4570,1.0
145,43585,5565,1.0
146,43586,68938,1.0
147,43793,58887,1.0
148,43869,80868,1.0
149,43841,19672,1.0
150,43837,76706,1.0
151,43807,12287,1.0
152,43807,12286,1.0
153,76377,75745,1.0
154,43794,52131,1.0
155,43793,56906,1.0
156,43586,69338,1.0
157,43763,63178,1.0
158,76405,79918,1.0
159,76491,27939,1.0
160,76496,80223,1.0
161,76521,65961,1.0
162,76529,75710,1.0
163,43596,69362,1.0
164,77021,84047,1.0
165,77107,28799,1.0
166,42119,62515,1.0
167,77495,82911,1.0
168,40793,79577,1.0
169,77633,37034,1.0
170,40757,79354,1.0
171,40723,77667,1.0
172,40722,27989,1.0
173,40716,74916,1.0
174,77645,81350,1.0
175,77697,87599,1.0
176,40679,80085,1.0
177,77764,78948,1.0
178,40640,55442,1.0
179,40638,52927,1.0
180,77764,80115,1.0
181,77769,88838,1.0
182,77782,89754,1.0
183,40585,71491,1.0
